,AS16RHR_v31,AS16D4HR_v31,AS16RHNR_v31,AS16D4HNR_v31,AS16RHR_v33,AS16D4HR_v33,AS16RHNR_v33,AS16D4HNR_v33
38,0.0,-3.803917159520389e-12,0.0,0.0,0.0,0.0,2.814773579661384e-12,0.0
39,0.0,-2.437640047565895e-12,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,5.955420635597146e-13,0.0,0.0,3.7133620501785303e-13,0.0
41,1.2400927823938824e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,3.258363532425316e-12,0.0,0.0,-1.0585612297812548e-12,0.0,0.0
43,0.0,0.0,1.1866738619030214e-12,0.0,-1.2184251487029892e-11,7.138153021657954e-13,0.0,0.0
44,0.0,0.0,-5.116895065408991e-13,1.6475736162886809e-13,0.0,0.0,2.4276375823108656e-12,0.0
45,0.0,0.0,0.0,-8.795272983072798e-13,0.0,-8.621768221617054e-14,0.0,0.0
46,4.193037112411022e-12,0.0,-6.85448096434258e-13,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8966685067161054e-13
48,0.0,0.0,0.0,0.0,4.553973888132732e-12,0.0,-1.9093531349700193e-13,0.0
49,0.0,0.0,0.0,-5.331536856564229e-13,0.0,-5.784123769816192e-13,0.0,0.0
50,0.0,0.0,0.0,0.0,-8.13738762540619e-13,0.0,0.0,-8.34875031285072e-13
51,2.088577894191675e-12,2.6773811594072e-12,0.0,0.0,-5.556931800961937e-13,0.0,0.0,0.0
52,0.0,-1.1238846813038153e-12,0.0,1.566067702601267e-12,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,-1.5658074372941719e-12,0.0,-2.141238068168131e-12,0.0
54,0.0,0.0,3.747569094954265e-12,-3.0474544699790406e-13,2.3475836683381124e-12,-1.9721590788782648e-12,0.0,0.0
55,0.0,3.046461140443242e-14,-9.12974409164957e-13,0.0,0.0,0.0,1.998191788274825e-12,1.96602670255562e-12
56,-1.3690808565132653e-12,0.0,-9.214835688183755e-15,0.0,8.89656716096344e-13,0.0,0.0,0.0
57,2.557422028933279e-13,0.0,-4.628733649768258e-13,0.0,0.0,0.0,4.075249996142184e-13,0.0
58,0.0,1.0921358050412234e-12,0.0,-6.312128877531934e-13,0.0,0.0,-1.606786043721525e-12,0.0
59,0.0,0.0,1.4499070129145572e-12,0.0,-8.161312145949637e-13,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,-4.5423270731077893e-13,0.0
61,0.0,0.0,0.0,0.0,-2.1051169668434992e-12,0.0,0.0,0.0
62,0.0,0.0,-7.365400976293864e-13,0.0,-2.15314190496649e-12,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,-1.30143044505297e-12,0.0
64,-1.1368414273292104e-12,0.0,0.0,-5.706290063825049e-13,0.0,0.0,0.0,0.0
65,1.8665900790913497e-12,5.774357899173391e-15,0.0,0.0,0.0,0.0,4.229922586178634e-12,0.0
66,0.0,0.0,0.0,0.0,-8.827390113001252e-14,0.0,0.0,0.0
67,0.0,0.0,-2.6018162922785063e-12,0.0,0.0,2.6429440443673314e-12,-9.223364598124862e-13,0.0
68,0.0,-2.208914260242117e-12,0.0,4.246343791903652e-13,0.0,0.0,-7.864801745181626e-13,0.0
69,0.0,-8.896683225208345e-13,-9.719974487018239e-14,0.0,-9.149398772556588e-13,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,1.4410502914534215e-12,0.0,0.0,0.0
71,-3.29323634862112e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-2.1020732527939055e-12,0.0,0.0,-8.717537160622033e-13,-1.5951263987248367e-12,0.0,-1.1915630860977243e-12,-7.740487670644391e-13
73,-1.3457782000941664e-12,0.0,1.7201658597158992e-12,0.0,6.731083334618427e-13,0.0,-1.1203541074285666e-14,0.0
74,-4.170851558526423e-13,-1.1720074818160544e-12,0.0,0.0,0.0,-2.8092568505516583e-12,0.0,0.0
75,1.1930438081603818e-12,0.0,0.0,0.0,-1.3427586996463814e-13,0.0,0.0,0.0
76,1.9350283999489712e-13,0.0,6.210928612249263e-14,0.0,0.0,0.0,0.0,1.6828828668137409e-12
77,-1.0210864930353889e-12,0.0,3.4318719105023264e-14,0.0,0.0,0.0,-1.3505880958105567e-12,-1.5656109377658155e-13
