,D,vo,fs,mean_f_coll,error_f_coll,mean_no,error_no,per_motor_force,force_per_2motor_state
16,0.0,3e-07,1e-12,-1.6239194876598237e-12,4.333443271329094e-15,1.08785567472262,0.000894105891147016,-1.4927710774445226e-12,-2.1153211630720707e-12
17,0.0,3e-07,2e-12,-1.98722086154919e-12,5.310921245285939e-15,1.0726551275911609,0.0009671518852378028,-1.8526186193803504e-12,-2.2243900296352067e-12
18,0.0,3e-07,3e-12,-2.440541796832339e-12,6.375594044986728e-15,1.0673035439137135,0.0009834904049542401,-2.2866426432756654e-12,-2.787864147949584e-12
19,0.0,3e-07,4e-12,-2.9267338280572937e-12,6.486033616766766e-15,1.0621703200093775,0.0009611907667424565,-2.7554279882641183e-12,-2.889931784771174e-12
20,0.0,3e-07,5e-12,-3.211842152122576e-12,7.098963850928391e-15,1.0510808892639978,0.0009699612837232973,-3.055751640933759e-12,-2.271534665658155e-12
21,0.0,3e-07,6e-12,-3.737832647579895e-12,8.45743240466274e-15,1.0542481859098007,0.0010477430373563214,-3.545495925472426e-12,-2.9305267919600292e-12
22,0.0,3e-07,7e-12,-4.107938954911685e-12,1.1544700786551179e-14,1.047147066702384,0.0011362037649796433,-3.922981867148969e-12,-3.0591928899410682e-12
23,0.0,3e-07,8e-12,-4.8010035495749114e-12,1.3795662369692284e-14,1.0708391678335667,0.0013265342773082682,-4.483403011199063e-12,-4.23137187754551e-12
24,0.0,4e-07,1e-12,-1.714364866727708e-12,3.993790789316125e-15,1.0727366787377135,0.0008153767642010136,-1.5981227273267068e-12,-2.224157438302316e-12
25,0.0,4e-07,2e-12,-2.2145303564296875e-12,6.11898987795913e-15,1.0819658264253087,0.0009674079207831244,-2.046765528395885e-12,-3.0503181638495476e-12
26,0.0,4e-07,3e-12,-2.6350735303552824e-12,6.233486030780917e-15,1.0641627543035994,0.0009276257205824015,-2.4761940969073903e-12,-2.984197102545621e-12
27,0.0,4e-07,4e-12,-2.8739279609044067e-12,5.099015981317721e-15,1.0343006637275325,0.0007503993719455547,-2.7786194688757254e-12,-2.1572421889322756e-12
28,0.0,4e-07,5e-12,-3.4882372911011027e-12,5.776076758106246e-15,1.041432573400814,0.0007840295241413291,-3.349460522163437e-12,-2.7563831098672067e-12
29,0.0,4e-07,6e-12,-4.032568043376972e-12,7.037266618084013e-15,1.0480874659315185,0.0008932992914605885,-3.8475491544905644e-12,-2.786931008908678e-12
30,0.0,4e-07,7e-12,-4.6369553963552595e-12,1.038460471072736e-14,1.0631391223510216,0.0010668209950858024,-4.361569712627182e-12,-4.176662120508008e-12
31,0.0,4e-07,8e-12,-5.22490535088663e-12,1.18272005899375e-14,1.0956318348755616,0.0014278965153391356,-4.768851346383211e-12,-4.20950725981585e-12
32,0.0,5e-07,1e-12,-1.7368448171911457e-12,3.93274216958639e-15,1.0762815936027417,0.000824093415237147,-1.6137457218581958e-12,-2.2127565549069024e-12
33,0.0,5e-07,2e-12,-2.3166244977625266e-12,5.077468133569756e-15,1.0791909110431643,0.0008659531027615361,-2.146630845438865e-12,-2.9866348673621492e-12
34,0.0,5e-07,3e-12,-2.8025520591081366e-12,6.522114269122483e-15,1.0819139903101742,0.0009788256143574059,-2.59036493123143e-12,-3.465961870609384e-12
35,0.0,5e-07,4e-12,-3.031275919077345e-12,4.5773344391999465e-15,1.0202742584178666,0.0005402575825406527,-2.9710402806574057e-12,-2.418311201763397e-12
36,0.0,5e-07,5e-12,-3.758364640518196e-12,6.2059116127331e-15,1.0640579424239436,0.0009271073031534145,-3.532105246032535e-12,-3.489500126079296e-12
37,0.0,5e-07,6e-12,-4.31292200795218e-12,6.447204057802273e-15,1.048896763584913,0.0007893230859747716,-4.1118651116926914e-12,-4.159085555813129e-12
38,0.0,5e-07,7e-12,-4.901348568246593e-12,9.561253920942361e-15,1.0727790337436156,0.0010769482515453307,-4.568833295653288e-12,-4.491356465777607e-12
39,0.0,5e-07,8e-12,-5.282550905818359e-12,6.797624726496858e-15,1.0216147021173285,0.0005880534887437219,-5.170785908689554e-12,-2.7504481298975922e-12
40,0.0,6e-07,1e-12,-1.8170351289886426e-12,4.2545060164463304e-15,1.0723199778753414,0.0007759402395010813,-1.694489673305215e-12,-2.5594912903772855e-12
41,0.0,6e-07,2e-12,-2.33849846092653e-12,4.830761350192916e-15,1.0767812288186276,0.0008418802230461696,-2.1717489108648135e-12,-2.9418508063037456e-12
42,0.0,6e-07,3e-12,-2.70018207944828e-12,4.222838619550293e-15,1.0479423376001915,0.0006769210670213888,-2.5766513886935323e-12,-3.042523343779416e-12
43,0.0,6e-07,4e-12,-3.3073932861667165e-12,6.118366607181378e-15,1.0596560794629186,0.0010509715156657236,-3.1211950275820172e-12,-2.6512463693048106e-12
44,0.0,6e-07,5e-12,-3.840010094530822e-12,5.636886238509041e-15,1.047591980769003,0.000741956491656232,-3.665558886497008e-12,-3.934495166123357e-12
45,0.0,6e-07,6e-12,-4.483713419876021e-12,6.026132921332435e-15,1.061904646777235,0.0008429037084875502,-4.2223314809701634e-12,-3.7309626261499915e-12
46,0.0,6e-07,7e-12,-5.302085744222488e-12,9.3694692879712e-15,1.0743800693904548,0.0011370102109413839,-4.93501871012053e-12,-4.124017274489596e-12
47,0.0,6e-07,8e-12,-5.649812409703063e-12,7.608607509394966e-15,1.0507579395020235,0.0008130075662053303,-5.376892429078984e-12,-4.764760337321357e-12
48,0.0,7e-07,1e-12,-1.8054226890013806e-12,4.033273853260314e-15,1.0712996149091523,0.000859665490616271,-1.6852640137973756e-12,-1.9982315653311385e-12
49,0.0,7e-07,2e-12,-2.2625403545642445e-12,3.910296742639228e-15,1.0610314089359607,0.000746919381693397,-2.1323971519685724e-12,-2.7188540312559643e-12
50,0.0,7e-07,3e-12,-2.6713178428199656e-12,3.465187759280905e-15,1.0391548707119367,0.0006432649377608983,-2.5706638328027233e-12,-2.2755448649681747e-12
51,0.0,7e-07,4e-12,-3.5510173899762783e-12,6.045914470926904e-15,1.0814123746017927,0.0008744923616231723,-3.2836848119884566e-12,-4.017827274156825e-12
52,0.0,7e-07,5e-12,-4.364602999926911e-12,1.2192746923920447e-14,1.0845050649042096,0.000994822960712921,-4.024511402639157e-12,-5.833700259470232e-12
53,0.0,7e-07,6e-12,-4.590839502791602e-12,5.932978830646913e-15,1.0551697153477453,0.0007930468084202444,-4.350806733757165e-12,-4.352232017682778e-12
54,0.0,7e-07,7e-12,-5.207169908979432e-12,8.006681543612841e-15,1.062914874409219,0.0009256045003848847,-4.898952902388952e-12,-5.040969051667161e-12
55,0.0,7e-07,8e-12,-5.83996111741946e-12,8.860380998538544e-15,1.0744044108975115,0.0010572973564696847,-5.435533452939761e-12,-5.132597586619222e-12
56,0.0,8e-07,1e-12,-1.903636470504326e-12,4.164077813435003e-15,1.0886288379814677,0.0008536946969850993,-1.7486551927413966e-12,-2.439189817493951e-12
57,0.0,8e-07,2e-12,-2.2004958886758762e-12,3.138224906555271e-15,1.0341243688791664,0.0005563402087396112,-2.127883216852224e-12,-2.242335985959412e-12
58,0.0,8e-07,3e-12,-2.741331897845461e-12,3.701378481454299e-15,1.0541924883105291,0.0007210246085517716,-2.600409249964185e-12,-2.708346447206976e-12
