,ASB1n1v2,ASB1n2v2,ASB1n3v2,ASB1n4v2,ASB1n5v2,,,,
200,2.568857,2.385933,9.306078,1.021489,0.665471,,,,
201,5.639506,26.340898,6.522529,5.782363,12.779569,,,,
202,0.928569,4.03997,7.643608,1.661262,1.548999,,,,
203,10.291816,3.681733,18.706597,2.161423,4.931433,,,,
204,28.381557,4.203752,10.226809,5.614998,2.356066,,,,
205,12.449842,6.121218,6.7482,4.026684,3.806059,,,,
206,9.663956,9.486914,0.841865,6.38659,1.945406,,,,
207,6.780054,11.522728,1.531756,10.365072,4.636902,,,,
208,14.959949,7.98747,0.534569,16.613462,1.230382,,,,
209,13.207076,4.766928,15.584261,16.199048,3.190184,,,,
210,2.605015,11.467358,1.566683,10.069163,15.600671,,,,
211,4.569995,12.47231,0.66597,6.278389,8.382943,,,,
212,1.768087,24.068957,4.539794,1.815449,3.208181,,,,
213,50.867955,2.059318,7.428085,7.425534,10.77704,,,,
214,4.735762,3.213191,8.72988,1.033795,3.118834,,,,
215,2.939733,0.039192,3.588269,9.654687,8.874905,,,,
216,11.076832,13.54601,9.854964,1.642384,27.517341,,,,
217,6.31444,3.286642,24.333072,18.941867,9.00849,,,,
218,13.097974,1.410029,3.616677,15.21241,3.451416,,,,
219,3.56942,11.957094,1.066129,4.614158,2.304769,,,,
220,1.907212,18.12947,2.867676,8.008541,4.967873,,,,
221,2.202901,2.022554,3.81475,12.246628,2.295514,,,,
222,4.153795,1.23245,20.243377,9.921113,0.334352,,,,
223,4.067968,0.111421,0.885838,4.780326,7.301718,,,,
224,3.82792,0.482246,9.332623,3.006264,7.876357,,,,
225,4.859682,2.069314,6.172873,12.94697,0.146849,,,,
226,15.043475,5.714379,5.277079,8.519067,0.3141,,,,
227,0.114316,1.798773,3.181307,3.545504,1.270457,,,,
228,4.35757,3.0867,2.851925,16.777795,4.042132,,,,
229,6.315809,1.037639,1.552832,0.548982,7.535942,,,,
230,13.889199,0.980668,2.190385,7.917403,8.267435,,,,
231,6.616905,15.297173,5.723326,8.32644,8.373401,,,,
232,5.6501,8.464103,2.119389,9.899421,0.228574,,,,
233,10.143064,8.914227,11.321357,2.700043,0.06385,,,,
234,3.823484,14.7297,5.018418,5.827547,11.65684,,,,
235,40.593255,1.548699,15.819438,11.524376,2.928082,,,,
236,22.281927,6.677969,3.22585,9.531065,0.945947,,,,
237,4.97427,3.711114,10.166832,0.66478,1.716855,,,,
238,0.287351,6.589772,4.719743,11.739995,9.978774,,,,
239,12.639594,2.346132,2.971733,5.786086,0.487214,,,,
240,3.986606,7.164157,21.349162,1.6763,5.335234,,,,
241,8.551029,1.07439,2.124265,17.958147,6.653141,,,,
242,16.095355,1.105335,3.531382,7.488837,8.575827,,,,
243,10.452619,0.962442,0.826526,4.916989,4.088293,,,,
244,3.779681,0.294288,7.216404,11.564592,12.59,,,,
245,16.588606,0.088984,0.464754,0.716616,11.329695,,,,
246,0.098418,0.177765,5.412677,22.745672,6.427168,,,,
247,0.29171,12.345516,2.336646,14.951416,1.085703,,,,
248,1.704926,23.545066,4.763258,5.727678,1.465366,,,,
249,9.810519,0.615551,4.136304,0.58007,0.230585,,,,
250,8.200009,6.403819,1.827273,14.546041,0.434769,,,,
251,1.725477,16.009135,8.163281,16.878991,4.725028,,,,
252,7.722936,31.539162,9.365646,22.661312,3.859689,,,,
253,4.203888,11.985663,3.770364,2.884246,1.152989,,,,
254,0.816504,0.516781,16.852562,13.084937,3.889348,,,,
255,5.633969,12.367371,12.532919,1.879054,9.346451,,,,
256,6.104298,6.980177,15.797979,6.984395,3.904279,,,,
257,5.570754,5.829842,12.033679,11.426482,10.250945,,,,
258,1.306675,4.29327,2.555247,2.358631,16.300223,,,,
259,0.105125,12.283868,8.817009,13.985593,4.384464,,,,
260,30.775025,21.36414,0.407512,15.368325,3.943846,,,,
261,5.280441,0.954122,2.244939,5.457169,5.564942,,,,
262,18.46869,3.776718,4.56419,12.366346,1.563724,,,,
263,8.564575,10.162165,4.426822,3.384808,7.167845,,,,
264,11.193778,5.444001,6.0602,2.636859,9.098106,,,,
265,1.291086,2.475514,12.606158,0.802636,4.047517,,,,
266,31.822303,5.040221,2.869283,0.770531,0.03222,,,,
267,1.345763,6.117441,1.991445,1.198833,1.232622,,,,
268,3.405015,4.33991,8.991355,4.909324,8.782427,,,,
269,4.057895,2.336696,0.811348,2.269219,25.847659,,,,
270,13.445211,6.783944,0.911735,1.898601,0.208769,,,,
271,6.209541,6.174993,3.671417,17.868097,26.268011,,,,
272,11.912199,5.410679,1.590958,3.763215,11.033829,,,,
273,37.856551,3.808633,1.020156,8.244678,15.21763,,,,
274,11.827717,7.239786,4.888025,2.404927,4.509109,,,,
275,7.635764,1.794606,4.26497,8.914775,23.660872,,,,
276,6.381993,18.486265,14.64538,5.777971,13.806812,,,,
277,8.671689,0.43081,13.980611,1.4732,1.18371,,,,
278,4.30527,3.864366,1.009333,13.8336,0.54321,,,,
279,10.710931,1.380908,0.61532,15.222474,12.565321,,,,
280,2.116191,3.037445,1.112591,0.259497,4.377023,,,,
281,19.020922,0.334172,21.720222,8.758194,24.151175,,,,
282,11.875399,22.842667,0.178277,0.20929,1.516618,,,,
283,0.647901,5.105158,2.237876,9.036879,4.737589,,,,
284,3.491455,25.707023,1.637924,19.71931,13.594492,,,,
285,17.537396,0.501127,8.410311,6.581502,5.768633,,,,
286,14.582379,2.332671,2.086029,2.471405,8.174337,,,,
287,4.939686,0.094656,29.595731,4.119919,1.017496,,,,
288,13.258128,7.048604,2.859593,24.876993,0.063859,,,,
289,21.550878,2.724435,4.308737,2.329549,0.947251,,,,
290,8.64927,1.414573,3.432475,6.575624,0.042251,,,,
291,7.775575,6.434923,11.768619,1.65142,5.529593,,,,
292,7.185138,4.832206,0.786635,5.891963,18.682354,,,,
293,15.403075,6.397095,0.788833,1.548974,3.640298,,,,
294,0.519591,4.926792,4.57968,2.688701,4.346079,,,,
295,20.396163,8.138632,3.945236,7.598373,5.134426,,,,
296,4.086271,16.972756,0.204246,3.419786,2.879743,,,,
297,12.413231,0.520621,0.864094,3.438194,1.803068,,,,
298,0.227222,6.062055,0.388709,9.104606,0.111558,,,,
